2026-04-11 23:48:05 | INFO     | repositories.firestore | Persisting new system forecasting snapshot
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to snapshots/auto-gen
2026-04-11 23:48:05 | INFO     | facades.simulation | Running simulation: Entry $72979.046875, Target 2.0%
2026-04-11 23:48:05 | INFO     | core.simulation | Computing withdrawal plan for new simulation parameters
2026-04-11 23:48:05 | INFO     | core.simulation | Target $74,439 crossing detected on 2026-04-27 00:00:00
2026-04-11 23:48:09 | INFO     | repositories.firestore | Retrieving prediction history (limit: 200)
2026-04-11 23:48:09 | INFO     | repositories.firestore | Querying collection daily_predictions with 0 filters
2026-04-11 23:48:09 | INFO     | repositories.firestore | Query returned 60 results
2026-04-11 23:48:09 | INFO     | repositories.firestore | Retrieving all investment records
2026-04-11 23:48:09 | INFO     | repositories.firestore | Querying collection investments with 0 filters
2026-04-11 23:48:10 | INFO     | repositories.firestore | Query returned 2 results
2026-04-11 23:49:21 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:49:22 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:49:22 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:49:23 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:49:23 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:49:24 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:49:24 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:49:26 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:49:27 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:49:27 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:49:28 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:49:29 | INFO     | repositories.assets | Model loaded from models\btc_lstm_model.h5 (compile=False)
2026-04-11 23:49:29 | INFO     | repositories.assets | Scaler loaded from models\scaler.pkl (joblib)
2026-04-11 23:49:31 | INFO     | repositories.firestore | Retrieving prediction history (limit: 200)
2026-04-11 23:49:31 | INFO     | repositories.firestore | Querying collection daily_predictions with 0 filters
2026-04-11 23:49:32 | INFO     | repositories.firestore | Query returned 60 results
2026-04-11 23:49:32 | INFO     | repositories.firestore | Retrieving all investment records
2026-04-11 23:49:32 | INFO     | repositories.firestore | Querying collection investments with 0 filters
2026-04-11 23:49:32 | INFO     | repositories.firestore | Query returned 2 results
2026-04-11 23:49:32 | INFO     | repositories.firestore | Retrieving prediction history (limit: 200)
2026-04-11 23:49:32 | INFO     | repositories.firestore | Querying collection daily_predictions with 0 filters
2026-04-11 23:49:33 | INFO     | repositories.firestore | Query returned 60 results
2026-04-11 23:52:39 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:52:41 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:52:41 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:52:42 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:52:42 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:52:43 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:52:43 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:52:44 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:52:45 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:52:45 | INFO     | repositories.assets | Initializing repositories.assets
